subtech,variable,reference_variable,period,value,uncertainty,unit,reference_value,reference_unit,comment,source,source_detail
BF-BOF-POST,CAPEX,Output Capacity|Steel Hot-rolled Coil,,1330.0,,USD,1.0,t/a,"Excluding recurring CAPEX. Yearly production of 4Mt. Case 2B: 60% CO2 capture, uses a MEA solvent. Includes casting and rolling",IEA-GHG13,"Vol. 2, Table D-4"
TGR-BOF-POST,CAPEX,Output Capacity|Steel Hot-rolled Coil,,1219.0,,USD,1.0,t/a,"Excluding recurring CAPEX. Yearly production of 4Mt. Case 3, uses a MDEA solvent. Includes casting and rolling",IEA-GHG13,"Vol. 3, Table D-4"
BF-BOF-POST,OPEX Fixed,Output Capacity|Steel Hot-rolled Coil,,116.19,,USD/a,1.0,t/a,"Fixed O&M cost, divided by the production of 4Mt/yr. Case 2B: 60% CO2 capture, uses a MEA solvent. Includes casting and rolling",IEA-GHG13,"Vol. 2, Table D-5"
TGR-BOF-POST,OPEX Fixed,Output Capacity|Steel Hot-rolled Coil,,111.32,,USD/a,1.0,t/a,"Fixed O&M cost (constitutes the majority of O&M expenses). Data was given in MUSD/yr, converted using a yearly production of 4Mt. Case 3, uses a MDEA solvent. Includes casting and rolling",IEA-GHG13,"Vol. 3, Table D-15"
TGR-BOF-POST,Input|Coal,Output|Steel Hot-rolled Coil,,0.67,,t,1.0,t,"Given per ton of hot rolled coil. All data was given in t/y, which we convert in t/tsteel using production of 4Mt/y. Includes coking coal and PCI coal. Case 3, uses a MDEA solvent.",IEA-GHG13,"Vol. 3, Table D-7"
BF-BOF-POST,Input|Coal,Output|Steel Hot-rolled Coil,,0.67,,t,1.0,t,"Annex 3, cost breakdown (OPEX) for EOP-L2 case (60% capture, uses a MEA solvent). All data was given in t/y, which we convert in t/tsteel using production of 4Mt/y. Includes coking coal and PCI coal",IEA-GHG13,"Vol. 2, Annex 3"
BF-BOF-POST,Input|Electricity,Output|Steel Hot-rolled Coil,,0.6217,,MWh,1.0,t,"Given per ton of hot rolled coil. In the report, natural gas is used. Case 2B: 60% CO2 capture, uses a MEA solvent. Includes casting and rolling",IEA-GHG13,"Vol. 2, Table C-3"
TGR-BOF-POST,Input|Electricity,Output|Steel Hot-rolled Coil,,573.4,,kWh,1.0,t,"Given per ton of hot rolled coil. In the report, natural gas is used. Case 3, uses a MDEA solvent. Includes casting and rolling",IEA-GHG13,"Vol. 3, Table C-8"
TGR-BOF-POST,Input|Iron Ore,Output|Steel Hot-rolled Coil,,1.35,,t,1.0,t,"Given per ton of hot rolled coil. All data was given in t/y, which we convert in t/tsteel using production of 4Mt/y. Includes fines, lumps and pellets. Case 3, uses a MDEA solvent.",IEA-GHG13,"Vol. 3, Table D-9"
BF-BOF-POST,Input|Iron Ore,Output|Steel Hot-rolled Coil,,1.36,,t,1.0,t,"Annex 3, cost breakdown (OPEX) for EOP-L2 case (60% capture), uses a MEA solvent. All data was given in t/y, which we convert in t/tsteel using production of 4Mt/y. Adds up any demand of fines, ore and pellets.",IEA-GHG13,"Vol. 2, Annex 3"
BF-BOF-POST,Input|Fossil Gas,Output|Steel Hot-rolled Coil,,5.53,,GJ,1.0,t,"Annex 3, cost breakdown (OPEX) for EOP-L2 case (60% capture, uses a MEA solvent). All data was given in t/y, which we convert in t/tsteel using production of 4Mt/y. All natural gas is used either for electricity, or steam production.",IEA-GHG13,"Vol. 2, Annex 3"
TGR-BOF-POST,Input|Fossil Gas,Output|Steel Hot-rolled Coil,,5.04,,GJ,1.0,t,"Given per ton of hot rolled coil. All data was given in t/y, which we convert in t/tsteel using production of 4Mt/y. All natural gas is used either for electricity, or steam production. Case 3, uses a MDEA solvent.",IEA-GHG13,"Vol. 3, Table D-8"
BF-BOF-POST,Input|Steam,Output|Steel Hot-rolled Coil,,4.89,,GJ,1.0,t,"TO CHECK ! Is it not included in electricity demand, at least partly ?In the report, natural gas is used for steam generation. Given per ton of hot rolled coil. Case 2B: 60% CO2 capture, uses a MEA solvent. Includes casting and rolling",IEA-GHG13,"Vol. 2, Table C-4"
TGR-BOF-POST,Input|Steam,Output|Steel Hot-rolled Coil,,2172.1,,MJ,1.0,t,"In the report, natural gas is used for steam generation. Given per ton of hot rolled coil. Case 3, uses a MDEA solvent. Includes casting and rolling",IEA-GHG13,"Vol. 3, Table C-9"
BF-BOF-POST,Input|Water,Output|Steel Hot-rolled Coil,,87.3,,t,1.0,t,"Given per ton of CO2 captured. Case 2B: 60% CO2 capture, uses a MEA solvent. Includes casting and rolling",IEA-GHG13,"Vol. 2, Table C-2"
BF-BOF-POST,Lifetime,,,25.0,,a,,,"Case 2B: 60% CO2 capture, uses a MEA solvent. Includes casting and rolling",IEA-GHG13,"Vol. 2, Annex 4"
TGR-BOF-POST,Lifetime,,,25.0,,a,,,"Case 3, uses a MDEA solvent. Includes casting and rolling",IEA-GHG13,
BF-BOF-POST,Emissions|CO2,Output|Steel Hot-rolled Coil,,831.42,,kg,1.0,t,"Emissions include steam production using ng (cf. Figure D-5). Given per ton of hot rolled coil. Case 2B: 60% CO2 capture, uses a MEA solvent. Includes casting and rolling",IEA-GHG13,"Vol. 2, Table C-7"
TGR-BOF-POST,Emissions|CO2,Output|Steel Hot-rolled Coil,,1118.75,,kg,1.0,t,"Emissions include steam production using ng (cf. Figure D-5). Given per ton of hot rolled coil. Case 3, uses a MDEA solvent",IEA-GHG13,"Vol. 3, Table C-17"
